name,symbol
Ethereum,eth
Tether,usdt
BNB,bnb
USDC,usdc
Lido Staked Ether,steth
Toncoin,ton
Chainlink,link
Polygon,matic
Wrapped Bitcoin,wbtc
Dai,dai
Shiba Inu,shib
Uniswap,uni
LEO Token,leo
OKB,okb
TrueUSD,tusd
Cronos,cro
Lido DAO,ldo
BUSD,busd
Immutable,imx
Mantle,mnt
Quant,qnt
Aave,aave
Maker,mkr
The Graph,grt
Arbitrum,arb
Injective,inj
Render,rndr
Rocket Pool ETH,reth
Synthetix Network,snx
Fantom,ftm
The Sandbox,sand
WhiteBIT Coin,wbt
Axie Infinity,axs
Bitget Token,bgb
Decentraland,mana
USDD,usdd
XDC Network,xdc
Blur,blur
GALA,gala
First Digital USD,fdusd
Frax,frax
dYdX,ethdydx
Illuvium,ilv
Frax Ether,frxeth
Tokenize Xchange,tkx
Gate,gt
Rocket Pool,rpl
Fetch.ai,fet
PancakeSwap,cake
Rollbit Coin,rlb
Frax Share,fxs
Curve DAO,crv
ApeCoin,ape
Gnosis,gno
Chiliz,chz
Tether Gold,xaut
cETH,ceth
Huobi,ht
Pepe,pepe
PAX Gold,paxg
Staked Frax Ether,sfrxeth
Pax Dollar,usdp
cWBTC,cwbtc
BitTorrent,btt
Coinbase Wrapped Staked ETH,cbeth
NEXO,nexo
WOO Network,woo
STEPN,gmt
Beam,beam
Kujira,kuji
SingularityNET,agix
1inch,1inch
Zilliqa,zil
Astar,astr
Compound,comp
Huobi BTC,hbtc
FLOKI,floki
Axelar,axl
Basic Attention,bat
Convex Finance,cvx
MX,mx
Worldcoin,wld
yearn.finance,yfi
Mask Network,mask
Holo,hot
SafePal,sfp
Enjin Coin,enj
Loopring,lrc
SKALE,skl
JasmyCoin,jasmy
Bonk,bonk
Fasttoken,ftn
Ankr Network,ankr
IoTeX,iotx
Golem,glm
Sushi,sushi
Escoin,elg
Tellor Tributes,trb
Echelon Prime,prime
Ethereum Name Service,ens
Audius,audio
Waves,waves
Aragon,ant
Wrapped Centrifuge,wcfg
Liquity USD,lusd
aelf,elf
SwissBorg,borg
DeXe,dexe
SXP,sxp
Memecoin,meme
Ocean Protocol,ocean
Livepeer,lpt
Band Protocol,band
tomiNet,tomi
Ribbon Finance,rbn
DAO Maker,dao
Olympus,ohm
Stratis,strax
Biconomy,bico
Telcoin,tel
Uquid Coin,uqc
CANTO,canto
Polymath,poly
sETH2,seth2
Status,snt
ECOMI,omi
Magic,magic
Balancer,bal
Alchemix USD,alusd
Baby Doge Coin,babydoge
PayPal USD,pyusd
OriginTrail,trac
cDAI,cdai
Prisma mkUSD,mkusd
SSV Network,ssv
crvUSD,crvusd
Bone ShibaSwap,bone
Gemini Dollar,gusd
inSure DeFi,sure
Wrapped Beacon ETH,wbeth
Vulcan Forged,pyr
Orbs,orbs
cUSDC,cusdc
VVS Finance,vvs
UMA,uma
BORA,bora
Nexus Mutual,nxm
BTSE Token,btse
Amp,amp
API3,api3
STASIS EURO,eurs
Tribe,tribe
Pundi X,pundix
Blox,cdt
Galxe,gal
Liquity,lqty
STP,stpt
Reserve Rights,rsr
Open Campus,edu
Coin98,c98
Covalent,cqt
Power Ledger,powr
Seedify.fund,sfund
Maple,mpl
eUSD,eusd
Cartesi,ctsi
PlayDapp,pla
Short-term T-Bill Token,stbt
dKargo,dka
HarryPotterObamaSonic10Inu (ETH),bitcoin
AllianceBlock Nexera,nxra
Stargate Finance,stg
Kyber Network Crystal,knc
0x0.ai: AI Smart Contract,0x0
Autonolas,olas
Storj,storj
Metal DAO,mtl
Pendle,pendle
IQ,iq
Yield Guild Games,ygg
Bluzelle,blz
iExec RLC,rlc
Bancor Network,bnt
NuCypher,nu
Swell Ethereum,sweth
SuperVerse,super
Tokamak Network,ton
Loom Network (OLD),loomold
SmarDex,sdex
Celsius Network,cel
Function X,fx
LUKSO [OLD],lyxe
MVL,mvl
Numeraire,nmr
Alchemy Pay,ach
Wrapped NXM,wnxm
HXRO,hxro
Smooth Love Potion,slp
Nym,nym
MovieBloc,mbl
